"Not Shipping on that location.","Not Shipping on that location."
"Estimated Shippping cost is %1 per product.","Estimated Shippping cost is %1 per product."
"Estimated Shippping cost is %1","Estimated Shippping cost is %1"
"Shippping is not avaliable on this location.","Shippping is not avaliable on this location."
"Something went wrong","Something went wrong"
"Something went wrong.","Something went wrong."
"Google Map Distance","Google Map Distance"
"Latitude & Longitude","Latitude & Longitude"
Kilometer,Kilometer
Miles,Miles
"Get Estimate Shipping Cost","Get Estimate Shipping Cost"
Calculate,Calculate
Calculating,Calculating
Webkul,Webkul
"Distance Rate Shipping","Distance Rate Shipping"
Enable,Enable
"Google Map Api Key","Google Map Api Key"
"Admin Location","Admin Location"
"Please enter Google Map Api and save to make it work","Please enter Google Map Api and save to make it work"
"Admin Latitude","Admin Latitude"
"Admin Longitude","Admin Longitude"
"Show estimate on product page?","Show estimate on product page?"
"Calculate Distance Based On","Calculate Distance Based On"
"Enabled for checkout","Enabled for checkout"
Title,Title
"Method Name","Method Name"
"Displayed Error Message","Displayed Error Message"
"Item wise rate","Item wise rate"
"Maximum Area Cover","Maximum Area Cover"
Unit,Unit
"Rate per Unit","Rate per Unit"
"Handling Charge","Handling Charge"
"Minimum Charge","Minimum Charge"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
